"sub","CP1","CP2","CP3","meanCP","NCP1","NCP2","NCP3","meanNCP","CL1","CL2","CL3","meanCL","NCL1","NCL2","NCL3","meanNCL","RAN1","RAN2","RAN3","meanRAN","ORFwpm1","ORFwpm2","ORFwpm3","meanORFwpm"
1,15.58456416,14.66788555,18.96766534,16.4067050166667,13.83467602,13.68475341,16.73449648,14.7513086366667,17.8677066829987,17.9009794259982,16.8510582890012,17.5399147993327,20.41772159,19.48427698,17.69943778,19.2004787833333,14.45132531,16.8009975,15.91776369,15.7233621666667,176.022842973654,180.626541410024,172.821433545862,176.49027264318
2,15.13461573,18.76587459,15.71610347,16.5388645966667,18.33441753,15.81785385,15.66780029,16.6066905566667,14.46795342,21.76756602,17.20128459,17.81226801,20.7176175459972,22.1841800780021,18.251053551001,20.3842837250001,16.93449362,17.26770555,15.05129293,16.4178307,191.853118295156,174.498056519394,168.823828471054,178.391667761868
3,23.63403174,26.6839422,30.2320419,26.85000528,20.59915088,20.51754562,22.55071227,21.22246959,18.0993455539938,20.484237622004,19.5009118419985,19.3614983393321,23.88418868,25.86732773,22.76748873,24.1730017133333,20.16770403,19.46762589,19.3343196,19.65654984,136.287336027135,128.224175986558,105.696496717064,123.402669576919
4,18.00099415,19.18431596,16.33447101,17.83992704,18.03437072,21.69964888,19.08422532,19.60608164,18.58447835,25.46720436,17.8009986,20.6175604366667,24.1841572810008,19.7009932900037,18.3009255830038,20.7286920513361,15.91777491,18.70109159,18.55101021,17.7232922366667,149.823824073406,153.596084182676,145.101207922588,149.507038726223
5,24.95053793,18.81765948,18.84935419,20.8725172,17.41777902,15.80112944,18.15098726,17.1232985733333,16.1678276730017,14.4012660570006,16.4347867070028,15.6679601456684,19.64933673,18.50106443,14.58462234,17.5783411666667,13.21623415,13.61784408,14.65136601,13.8284814133333,204.498870062394,207.908078571459,182.405495656726,198.270814763526
6,15.75058174,23.14905652,19.65033751,19.51665859,19.20036667,17.0338396,25.73325541,20.65582056,20.35030347,24.31568045,20.66695258,21.7776455,21.4502147730018,26.1489350170013,22.3335789319972,23.3109095740001,21.81698763,21.63363482,20.600232,21.3502848166667,189.192786336431,184.54637933898,177.368217200287,183.702460958566
7,15.7011570989998,14.6180138050113,14.9161892039992,15.0784533693368,14.0513163600117,14.3679360240058,15.4346472809993,14.6179665550056,19.1511784239992,19.4343320890039,19.2508516480011,19.2787873870014,24.5507425920077,22.7340741730004,19.3343261120026,22.2063809590036,17.6678399960074,19.4676796059939,16.6677697220002,17.9344297746672,193.115930111887,172.950845098667,170.444180036485,178.836985082346
8,14.7661627149937,13.3012939370092,13.3345673580043,13.8006746700024,17.7178556080034,15.4346593549999,15.667810605999,16.2734418563341,19.5009910020017,19.9509226109949,19.0343296690116,19.4954144273361,22.9507150349964,24.1174038720055,22.7674078349955,23.2785089139992,18.0843853409897,17.8842802900035,17.6178217690031,17.8621624666654,203.735269750232,190.708972707724,182.467901802981,192.304048086979
9,31.5663569690078,18.500576268998,26.3666457390063,25.477859659004,16.2671685389942,19.2672535680031,18.1005982979987,17.8783401349986,19.2170201420086,18.8838697430037,19.3671901549969,19.1560266800031,22.6503767130052,18.9338668109995,18.4672187899996,20.0171541046681,15.700555501011,15.9340165080066,16.7838179769897,16.1394633286691,176.26177997199,150.148209880227,146.458604201903,157.622864684707
10,17.0676758590125,14.8012412829994,19.1843456049974,17.0177542490031,17.2346140510053,19.2176170489984,21.3490912830021,19.2671074610019,15.5662965119991,21.6676234479964,15.5178560729983,17.5839253443313,18.5176927720022,16.1677891670115,16.1845045679947,16.9566621690028,14.7345714709954,15.1013625030027,14.9344735199993,14.9234691646658,177.074962499871,182.03877595708,169.091750307913,176.068496254955
12,14.8845607859985,14.9179011270026,14.8345892549987,14.8790170559999,14.6512169240013,16.0345686490036,17.6842952610023,16.1233602780024,15.70137285901,16.4345918160107,15.6844683689997,15.9401443480068,19.0010500590142,16.6677714339894,15.9011319590063,17.1899844840033,11.9180406259984,15.2012476679956,12.334656653009,13.1513149823343,249.893821735953,215.767049956005,214.062712342409,226.574528011456
13,16.7177170869982,14.7179169709998,24.5340262889949,18.6565534489976,17.6827404119977,15.3678762880008,27.7822666779975,20.2776277926653,17.2844178440137,16.5345776950126,18.6842138159991,17.5010697850084,20.5009277279896,22.2674006890011,18.9175908619945,20.5619730929951,18.0343326279981,19.4176642379898,18.8509536359925,18.7676501673268,174.246697945334,179.518491537397,144.119999303453,165.961729595395
15,19.4176874339901,18.1011822859873,21.2175094330014,19.5787930509929,18.9176854950056,21.6842757540144,22.7674304249958,21.1231305580053,19.6342611649889,16.4677513259958,17.9677534699877,18.0232553203241,28.6004759109928,23.0007685180026,20.5341890329873,24.0451444873276,18.6010751610011,19.7842305480008,19.3175371310062,19.2342809466694,166.492797727525,174.303339883197,124.985678375985,155.260605328903
16,18.9992780710018,23.8842015870032,19.6176740539959,20.8337179040003,21.4341761639953,19.8009418599977,23.3506667619949,21.5285949286626,19.6343691700022,24.6006238080008,18.5677241279918,20.9342390353316,25.8005581129983,24.2673062009999,21.8508957260055,23.9729200133346,18.6344544180029,20.4009364170051,18.3675969729957,19.1343292693346,175.125991716926,176.53876506197,169.900504068925,173.855086949274
17,20.6008868760109,15.3512987059949,20.9841651000024,18.9787835606694,16.1176939839934,14.5012277800124,0.00190241400559898,10.2069413926705,19.451051519005,17.7843913690012,17.0010109740106,18.0788179540056,16.7844587190048,17.9177425119997,20.4174793779966,18.373226869667,16.5844944379933,15.3844607929932,16.0011107089958,15.9900219799941,165.052231945009,166.254463428288,160.533394414416,163.946696595904
18,24.1156118770014,17.217821749,15.0178111629939,18.7837482629984,14.784679799006,17.5843983329978,25.0506732229987,19.1399171183342,14.6512357320025,15.4180284539907,15.4678954450064,15.1790532103332,16.1678900900006,16.417809274004,17.4177261519944,16.667808505333,15.0178415830014,14.7512622600043,13.5014087340096,14.4235041923384,245.079652234852,222.750499807964,211.681594014581,226.503915352466
19,22.1007407790021,20.1343742019963,20.6658725160087,20.9669958323357,17.2845169680077,21.8509668939951,19.9509434570064,19.695475773003,20.1492379389965,19.7508923010028,16.9676378529985,18.9559226976659,22.1008883330069,19.0342086590099,19.667668042006,20.2675883446742,23.7673942990077,20.6509789440024,20.4175437179947,21.6119723203349,178.06716912158,167.025422631237,143.230918617222,162.77450345668
20,16.851086789,13.5347222590062,14.5844807910034,14.9900966130032,14.4678887699993,17.1512255879934,19.3009660309908,16.9733601296612,14.0012957360013,15.8677266519953,14.5661069529888,14.8117097803285,18.3011490089993,16.2678078230092,13.9012272849941,16.1567280390009,13.9846637759911,14.3513822179957,14.8846380070026,14.4068946669965,214.74118256242,214.974900683852,199.552120694445,209.756067980239
21,17.4510896889988,18.7343340929947,16.701275126994,17.6288996363292,15.0512047340017,15.2679413250007,20.4824946949957,16.9338802513327,19.2843365430017,19.0677955049905,18.7843280230009,19.045486690331,22.6508909069962,20.0343383750005,19.3176497230015,20.6676263349994,16.2178282660025,19.4010812750057,17.9019125679915,17.8402740363332,182.495669051723,190.013632731254,168.610484369742,180.373262050906
22,16.2010576050088,15.1179460819985,18.1842668910103,16.5010901926726,13.8845454580005,16.6666061930009,19.7842082719872,16.7784533076629,17.3177250440058,22.8504746420076,18.451067735994,19.5397558073358,20.6508373899997,20.88419307,20.5174852119962,20.6841718906653,17.4159463969991,18.6677018969931,17.9176450259984,18.0004311066635,169.675502345317,181.890362579149,157.124815487371,169.563560137279
23,18.0676656150026,17.5011422139942,22.4674106989987,19.3454061759985,15.3512664530135,16.4844453320111,18.7342525470012,16.8566547773419,19.551046736,20.3342598509917,20.0008704289939,19.9620590053285,24.6507088760118,23.2175096700084,21.1157992209919,22.994672589004,18.7843111020047,18.7510174829949,18.3676241610083,18.6343175820026,163.356595042233,163.068288163521,148.20873087275,158.211204692834
24,16.7010906260111,16.184604723996,16.0011514490179,16.295615599675,18.3844246190274,18.9843898979889,20.4176463560143,19.2621536243435,23.3007117709785,26.3005247490073,22.8674258590036,24.1562207929965,27.533889607992,24.1657252120203,24.0339974009839,25.2445374069988,19.1176043569867,26.2322115330026,26.5171712309821,23.9556623736571,156.393931412999,151.654999669339,135.541252012054,147.863394364797
26,16.2678016239952,17.801174274995,18.2510378830193,17.4400045940032,17.0510555869841,18.8344416439941,18.6509170429781,18.1788047579854,18.4010788349842,21.517586831993,18.7509583789797,19.5565413486523,19.8844470680051,23.6841936760175,17.9009906800056,20.4898771413427,15.5013109919964,18.817777985998,18.7344472330005,17.6845120703316,153.809287043624,165.49050331841,142.121357481036,153.807049281023
27,19.3176338789926,18.451111396018,17.0510941329994,18.27327980267,14.1995859630115,14.8012555460155,18.5011142230069,15.8339852440113,16.4677844420075,17.0343739560049,18.5176214879903,17.3399266286676,19.3177124119829,18.7178031550138,18.7009902099962,18.912168592331,16.084630606987,18.1010068999894,16.9344373409986,17.040024949325,210.825645783079,210.148745542774,207.559197097212,209.511196141021
28,17.8344213470118,17.5510237950075,17.2012432619813,17.5288961346669,20.5842445619928,16.9678380659898,23.000744813995,20.1842758139925,18.667699098005,21.4009442759852,20.3843020049972,20.1509817929958,25.8339397530071,23.150898619002,20.7174879620143,23.2341087780078,17.8511232470046,17.7176786259806,15.9345361269952,17.1677793333268,195.991534197079,184.180766473308,184.17096593049,188.114422200292
29,19.3991935960075,20.0326209100022,19.3170198219887,19.5829447759994,14.8994358500058,16.2006088079943,19.033673383994,16.7112393473314,17.0836814779905,19.2671059249842,18.16714490499,18.1726441026549,21.4169228269893,19.150443999999,17.0004467010149,19.1892711760011,16.4005706459866,19.2169795460068,16.8338083590206,17.4837861836713,194.994081919592,194.679091311959,180.309009214841,189.994060815464
30,15.4678011619835,17.9176236620115,19.0510153369978,17.4788133869976,20.7826559979876,19.0343977189914,29.5337960080069,23.1169499083286,21.0992181530164,25.8838875519868,24.3507789669966,23.7779615573333,20.3008361659886,33.1002170749998,25.5505768489966,26.317210029995,21.0674949169916,28.4503780020168,24.7173326890043,24.7450685360042,119.363984536972,125.236883877912,114.215479737263,119.605449384049
31,16.2660730750067,17.5339094770025,14.0506741330028,15.950218895004,17.517186698009,18.7170582089748,20.5169381800224,18.9170610290021,14.6339564140071,16.6005508360104,14.884043929982,15.3728503933332,17.9004746779974,15.9506160960009,14.3674044770014,16.0728317503332,14.5842844519939,14.7840918240254,14.6006346319919,14.656336969337,202.120806679087,208.745013592154,180.798991943051,197.221604071431
32,18.0343222880038,15.2344455580169,15.1178029130097,16.1288569196768,15.1828796000045,15.7160303129931,21.3840793819982,17.4276630983319,17.6011191099824,17.7511247250077,17.7510857649904,17.7011098666602,17.3510005210119,16.8344202960143,18.7342198980041,17.6398802383434,17.6511817199935,17.551189092017,16.6345120219921,17.2789609446675,192.143914736387,209.302270533674,199.328498719147,200.258227996403
33,19.3171640919754,16.4338317619986,18.9670134670159,18.23933644033,16.4494309969887,15.4175400100066,19.2503511169925,17.0391073746626,15.4161960499769,17.3172193009814,16.4171723710024,16.3835292406535,20.3337956089817,17.8338407010015,14.9007508149953,17.6894623749928,19.4670428209938,17.3671833090193,16.1338861040131,17.6560374113421,210.946930919008,194.033383292907,196.391943656135,200.45741928935
33,19.3171640919754,16.4338317619986,18.9670134670159,18.23933644033,NA,33,NA,33,15.4161960499769,17.3172193009814,16.4171723710024,16.3835292406535,20.3337956089817,17.8338407010015,14.9007508149953,17.6894623749928,19.4670428209938,17.3671833090193,16.1338861040131,17.6560374113421,210.946930919008,194.033383292907,196.391943656135,200.45741928935
34,18.1178133259818,19.0510055509803,19.7842384940013,18.9843524569878,17.8992317070079,20.0658897740068,22.7340959499998,20.2330724770048,24.5507426660042,24.734019378986,22.1675107069896,23.8174242506599,25.0674112850102,25.3006923670182,23.0840746190224,24.4840594236836,22.3675746849913,24.1339165969985,22.1508619969827,22.8841177596575,190.894935439692,181.186349653944,178.018163751653,183.366482948429
35,15.9667895750026,15.2666888799868,17.932566353993,16.3886816029941,14.7336108489835,15.6493886559911,20.8332521610137,17.0720838886627,15.3502460969903,16.2500764810247,17.499986684008,16.3667697540077,19.8498023249849,19.3332984739973,19.133374270983,19.4388250233217,16.5333046419837,17.4002439039759,17.9167173159949,17.2834219539848,202.55256425547,195.412784279083,177.665420526092,191.876923020215
36,16.8828301570029,16.8012146490219,15.0512110290001,16.2450852783416,15.4995558380033,18.4660259940138,20.7842192089884,18.2499336803351,16.0011596969853,15.5844596480019,15.651144819014,15.7455880546671,18.1995923320064,17.7844562699902,16.2011735020205,17.3950740346724,15.5178415900155,15.9845898820204,15.7011874190066,15.7345396303475,198.438133333676,183.890989694735,181.233173343013,187.854098790475
37,20.8003799789876,20.9504594619793,20.3158699140185,20.6889031183285,16.967279280012,16.5673427559959,22.5668661190139,18.7004960516739,23.2174303480133,21.9341918280115,21.267634193995,22.13975212334,24.1507704989926,22.1657930320071,19.7843367170135,22.0336334160044,19.6843196249974,19.2678467149963,20.4342940920033,19.7954868106657,208.636301578056,202.685418034631,187.409937997584,199.577219203424
38,0.002395435993094,17.2660470739938,13.5512114590092,10.2732179896654,17.6677038269991,14.61799487198,24.4840087330085,18.9232358106625,19.0510923220136,20.7342574789946,19.4010032599908,19.7287843536663,24.2840096679865,23.750715815986,20.2158388899988,22.7501881246571,18.9343221720192,21.2841797429719,19.8676649660047,20.0287222936652,182.321004515079,167.503680597211,171.376004118836,173.733563077042
39,20.4342898830073,16.9677249199885,15.1346251509967,17.5122133179975,15.9995188809989,19.3010763069906,20.9341623589862,18.7449191823252,16.4681388780009,17.6343614899961,19.3324535680003,17.8116513119991,20.684302944981,20.3509018420009,15.101222131023,18.7121423060016,12.9179973739956,15.3344946220168,14.1178690500092,14.1234536820072,193.212564133257,187.802264078348,167.866909432573,182.960579214726
40,19.9676077909826,16.7494309520116,19.817751347,18.8449300299981,19.8176022529951,19.4342208400194,19.3676365819992,19.5398198916713,16.6845399349986,18.4344383690041,16.3010469510045,17.1400084183357,21.9175482059945,20.3175510599976,21.6341567930067,21.2897520196663,17.8677816540003,18.8010959149979,16.9344548200024,17.8677774630002,190.132172287697,190.245265003392,179.941818496327,186.773085262472
41,22.3175083699753,16.2178606170055,16.0844607519975,18.2066099129928,13.5846637040086,18.2511793320009,20.0341827360098,17.2900085906731,18.9510799499985,20.7009144840122,19.1675705119851,19.6065216486653,23.6174276389938,22.1341831969912,18.9343167120242,21.5619758493364,18.6008765400038,19.1009166509903,18.251017417002,18.650936869332,179.153699599036,169.444178331481,156.162475587162,168.25345117256
42,18.9510481400066,16.2328871370119,17.1677895449975,17.450574940672,17.0177109249926,23.384146958997,22.36739188098,20.9230832549899,19.5492642820172,20.5676252060221,21.3508376309765,20.4892423730053,24.5340688980068,24.8673497450072,20.5342837240023,23.3119007890054,20.9176517399901,21.7176688770123,20.3176493789942,20.9843233319989,192.530900974721,172.695572307322,156.616611541268,173.947694941104
43,17.4160346979916,14.9345848399971,19.8158789569861,17.3888328316583,15.8344980610127,13.3496048220259,15.1678827200085,14.7839952010157,20.1178023320099,18.4009468440199,18.7510252490174,19.0899248083491,20.0010764659964,21.2174445830169,17.8344270009839,19.6843160166657,19.3510328859848,17.3176339089987,19.1176413059875,18.595436033657,199.475157888608,191.88310474165,175.670252248249,189.009504959502
44,16.7677155449928,17.0327182289911,22.2342154750077,18.6782164163305,16.3511651449953,18.2011405560188,20.7675572529843,18.4399543179995,15.5660836580209,15.751173511002,13.5179487140267,14.9450686276832,22.0176519810047,18.0510677139973,15.1844489320065,18.4177228756695,16.3011344989936,14.6344709669938,15.484531419992,15.4733789619931,210.013899955232,196.813017853631,191.106735676846,199.31121782857
45,17.8677043589996,19.0678223549912,17.7176311869989,18.2177193003299,16.0345760020136,17.9161365930049,16.8343903690111,16.9283676546765,20.6175399489875,20.4176718680246,19.8176696320006,20.2842938163376,23.0341880790074,22.5840976740001,19.5010756959964,21.7064538163346,18.1826335950173,22.0341834199789,22.5840898850001,20.9336356333321,198.954397733978,179.7251664805,147.920968452188,175.533510888889
46,17.5511286639958,16.1827651619969,15.0345041250112,16.2561326503346,17.3510601010057,19.8509686999896,22.2674399450189,19.8231562486714,14.151398091024,14.1679763940047,15.0844700220041,14.4679481690109,19.6009800600004,18.2010114269797,15.984508930007,17.928833472329,14.2013300059771,14.7679585540027,14.4344707859855,14.4679197819884,253.043418514125,258.55949585791,219.893447070819,243.832120480951
47,18.3176953889779,14.3011711169966,15.3178758040012,15.9789141033252,13.6513098569994,14.4178703439829,16.3177983789938,14.7956595266587,17.6846118270187,14.7996203940129,14.4180321810127,15.6340881340147,17.9510228520085,15.5177700530039,16.0011208360083,16.4899712470069,15.6679092280101,15.1845635879727,15.2845267929952,15.3789998696593,209.667732691223,210.526226862626,204.767243295359,208.320400949736
48,21.0169690400071,23.4004146289953,22.4002752579981,22.2725529756669,23.5835106580053,22.533597859001,29.9331870779861,25.3500985316641,35.0828914949961,36.1494200559973,30.7331522979948,33.9884879496628,34.7828843920142,33.1164206780086,28.7165441849793,32.2052830850007,0.0180803349940106,25.9334489909816,0.0180578470171895,8.65652905766425,147.281910811076,167.866163278556,135.887985473689,150.345353187774
49,18.6177877220034,15.517972015019,20.5991157309909,18.2449584893378,15.6177408640215,18.0993498869939,15.7994047469983,16.5054984993379,17.9010631720012,16.4012016229972,14.8178689049964,16.3733778999983,16.0845067749906,16.7510557710193,15.1511454680003,15.9955693380034,13.3846923660021,15.4845636339742,13.8012995180034,14.2235185059932,244.61012000344,222.221395197771,209.847892378995,225.559802526735
50,16.0662316949747,15.2678916729928,18.2510519099887,16.5283917593188,18.7510332340025,17.4178067499888,24.899006496009,20.3559488266668,15.9346091430052,18.5327169310185,20.1841803000134,18.2171687913457,15.9012424980174,16.3345434619987,14.234450214979,15.4900787249984,15.8180693729955,17.4510652419995,14.517859153013,15.9289979226693,245.549531493535,225.324703095265,229.359022327823,233.411085638874
51,17.0177066279866,13.7512757960067,15.6010994490061,15.4566939576665,16.3828574669897,19.3176296129823,19.8175966150011,18.5060278983243,18.8011263560038,17.5510646730254,21.134258303995,19.1621497776747,21.4841668250156,18.4509614109993,24.86733555299,21.6008212630016,16.8012498139869,19.1676751489867,19.5176454049943,18.4955234559893,165.408603169747,170.431210375214,145.338290191815,160.392701245592
52,18.3842803259904,17.184415013995,17.5844441170048,17.7177131523301,18.0344664510048,16.0845652639982,24.1656933039776,19.4282416729936,14.1013786800031,13.9828415700176,12.53480283299,13.5396743610036,18.6342902159959,18.3677086989919,16.8677963500086,17.9565984216655,12.7013973320136,14.567861751013,14.5511552300013,13.9401381043426,203.843359460672,197.136264523425,185.45349828705,195.477707423716
53,16.0678594919736,14.9178308300034,14.6345363400178,15.2067422206649,12.7680026250018,11.6332421699772,12.9495444979984,12.4502630976591,20.2175661039946,18.717808935995,17.7843763130077,18.9065837843324,19.3343302540015,19.1841927840142,17.7677466930181,18.7620899103446,16.4510701649997,16.6011032499955,16.5511907330074,16.5344547160009,217.929301802683,208.184856694225,200.077230761924,208.730463086277
54,16.6512265799975,16.1513104089827,14.9680262189941,15.9235210693247,17.034411250992,15.1346309310175,25.1505307689949,19.1065243170015,18.5344354509725,18.0343827699835,16.0327043780126,17.5338408663229,25.1338811260066,19.1509435409971,16.6343821999908,20.3064022889982,15.3161854360078,16.9844388340134,16.884497874009,16.3950407146767,205.047166572933,187.4262624489,162.09624837802,184.856559133284
55,21.650279191992,16.7005773319979,15.0846808679926,17.8118457973275,16.0006639569765,15.7673333339917,32.2497077729786,21.3392350213156,24.7833688329847,19.9836401279899,21.2504201940028,22.0058097183258,21.8168256290082,22.4336882339849,23.6502575129853,22.6335904586595,22.3836702260014,24.6500578359992,24.0002588760108,23.6779956460038,182.673314005153,186.161637843383,159.956795338168,176.263915728901
